EI_offline,order,participant
9.349606245603274,3,2
6.936440474877331,3,2
4.875713396245832,3,2
6.895684943141219,3,2
9.710528020998655,3,2
8.398431355765114,3,2
18.78065064079989,3,2
17.15378843041447,3,2
13.244452339667717,3,2
20.376105725013286,3,2
25.12625284396483,3,2
22.102106837115635,3,2
17.596159689930275,3,2
16.834582413373493,3,2
9.723803887528259,3,2
10.391460548880753,3,2
13.761813799423317,3,2
16.68792943107739,3,2
21.707407016723664,3,2
18.6108766712309,3,2
14.0532229638908,3,2
32.11597440861162,3,2
33.048292247952475,3,2
33.44564188688642,3,2
27.867945905905504,3,2
25.7670994749505,3,2
22.81293494381356,3,2
21.010825763124778,3,2
17.47995494400583,3,2
11.203079041632668,3,2
9.035294958619602,3,2
4.930426065454681,3,2
4.7061454707450565,3,2
13.214782110907086,3,2
17.9443116662257,3,2
16.50853371459705,3,2
14.060612024843696,3,2
14.586214423852894,3,2
17.351096538741995,3,2
17.192697985930792,3,2
22.104261601277297,3,2
29.15845412934287,3,2
35.31724718210772,3,2
30.119562413272384,3,2
27.868616289303137,3,2
22.178577333830436,3,2
22.059660761022513,3,2
22.385573797778715,3,2
19.814625940006174,3,2
19.84448731586215,3,2
22.846587914174123,3,2
28.608905010208662,3,2
26.659141725953724,3,2
21.2804873693253,3,2
15.861288767528304,3,2
10.308799660927997,3,2
11.310050413249284,3,2
11.89062402575152,3,2
8.908438663355959,3,2
7.98425380663728,3,2
10.590412877183528,3,2
7.4255815059576955,3,2
23.94035761872652,3,2
19.354128921992256,3,2
22.403796482261406,3,2
26.20301102343843,3,2
27.795998946258678,3,2
24.92173035728723,3,2
28.42054030575601,3,2
23.58059942980622,3,2
20.68409724184391,3,2
22.53429626024147,3,2
28.3300477836507,3,2
26.859607853998856,3,2
24.752638834075942,3,2
24.882977015041128,3,2
27.643918006247958,3,2
29.651793463812997,3,2
29.857288644599144,3,2
23.945137226046533,3,2
29.17855603036968,3,2
26.66171017847715,3,2
26.234405508101442,3,2
25.674574608717656,3,2
24.61345567167682,3,2
26.420804394854514,3,2
25.050154839530443,3,2
24.860238004911427,3,2
18.89537256911231,3,2
20.83417621759652,3,2
17.431865206418482,3,2
16.89150597892389,3,2
14.318830440141706,3,2
18.20813688816695,3,2
20.430507225696164,3,2
20.510260286850553,3,2
30.8152464844262,3,2
23.31911989185016,3,2
19.809208843931682,3,2
20.744783710038654,3,2
25.45229092130369,3,2
31.09364619442584,3,2
40.26539826925985,3,2
41.86087588843549,3,2
35.27849864732095,3,2
31.024580781035453,3,2
27.881560785889132,3,2
28.850015832070763,3,2
28.58762662673604,3,2
23.62158792713505,3,2
29.88056046308916,3,2
27.232736655014843,3,2
27.03846592750584,3,2
25.39294609724378,3,2
23.40263385647399,3,2
16.876427977653048,3,2
11.751862337072977,3,2
12.590469252465674,3,2
14.044265049672155,3,2
18.289322982726127,3,2
19.12332126111184,3,2
35.2966574632585,3,2
38.13424516774872,3,2
30.649558197205895,3,2
32.74244014940757,3,2
31.051587991036243,3,2
28.684447401155406,3,2
27.208257187696887,3,2
21.33830714544439,3,2
